[| Subject = sdad| Start =Wed Apr 26 17:00:00 CEST 2017|  End = Wed Apr 26 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body = <html><head><meta http-equiv="Content-Type" content="text/html; charset=utf-8"><style type="text/css" style="display:none;"><!-- P {margin-top:0;margin-bottom:0;} --></style></head><body dir="ltr"><div id="divtagdefaultwrapper" style="font-size:12pt;color:#000000;font-family:Calibri,Arial,Helvetica,sans-serif;" dir="ltr">
, | Subject = +o0uoigy| Start =Thu May 11 17:00:00 CEST 2017|  End = Thu May 11 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = +o09ugy| Start =Fri May 12 17:00:00 CEST 2017|  End = Fri May 12 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = o+0i9ui| Start =Sat May 13 17:00:00 CEST 2017|  End = Sat May 13 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = dfgdf| Start =Sun May 14 17:00:00 CEST 2017|  End = Sun May 14 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = dfgdf| Start =Mon May 15 17:00:00 CEST 2017|  End = Mon May 15 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = yhyh| Start =Tue May 16 17:00:00 CEST 2017|  End = Tue May 16 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = ffff| Start =Wed May 17 17:00:00 CEST 2017|  End = Wed May 17 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = fffff| Start =Thu May 18 17:00:00 CEST 2017|  End = Thu May 18 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = rrrr| Start =Fri May 19 17:00:00 CEST 2017|  End = Fri May 19 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = ssss| Start =Sat May 20 17:00:00 CEST 2017|  End = Sat May 20 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = sds| Start =Sun May 21 17:00:00 CEST 2017|  End = Sun May 21 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = sssss| Start =Mon May 22 17:00:00 CEST 2017|  End = Mon May 22 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = ffff| Start =Tue May 23 17:00:00 CEST 2017|  End = Tue May 23 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = fffff| Start =Wed May 24 17:00:00 CEST 2017|  End = Wed May 24 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = ffff| Start =Thu May 25 17:00:00 CEST 2017|  End = Thu May 25 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = ffff| Start =Fri May 26 17:00:00 CEST 2017|  End = Fri May 26 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = ffff| Start =Sat May 27 17:00:00 CEST 2017|  End = Sat May 27 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = fffff| Start =Sun May 28 17:00:00 CEST 2017|  End = Sun May 28 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
, | Subject = fffff| Start =Mon May 29 17:00:00 CEST 2017|  End = Mon May 29 17:30:00 CEST 2017|  Location = null| isAllDay = false| Body =   
]
